,current_day,clound_min,clound_max,clound_std,clound_median
208,2019-7-28,1.0,4.0,1.378954368902449,4.0
209,2019-7-29,4.0,4.0,0.0,4.0
210,2019-7-30,1.0,4.0,1.0836246694508318,4.0
211,2019-7-31,1.0,4.0,1.1677484162422844,4.0
212,2019-8-1,4.0,4.0,0.0,4.0
213,2019-8-2,4.0,4.0,0.0,4.0
214,2019-8-3,1.0,4.0,0.9962049198956219,4.0
215,2019-8-4,4.0,4.0,0.0,4.0
216,2019-8-5,1.0,4.0,0.8660254037844386,4.0
217,2019-8-6,1.0,4.0,1.1381803659589922,4.0
218,2019-8-7,1.0,4.0,1.1381803659589922,4.0
219,2019-8-8,4.0,4.0,0.0,4.0
220,2019-8-9,2.0,4.0,0.9045340337332909,4.0
221,2019-8-10,1.0,4.0,1.1677484162422844,4.0
222,2019-8-11,1.0,4.0,1.1381803659589922,4.0
223,2019-8-12,1.0,4.0,1.1645001528813148,3.0
224,2019-8-13,2.0,4.0,0.621581560508061,4.0
225,2019-8-14,1.0,4.0,1.2309149097933274,4.0
226,2019-8-15,1.0,4.0,1.3026778945578592,2.0
227,2019-8-16,1.0,4.0,1.2154310870109943,4.0
228,2019-8-17,1.0,4.0,1.3026778945578592,2.0
229,2019-8-18,1.0,4.0,1.3113721705515067,2.0
230,2019-8-19,1.0,4.0,1.4433756729740643,4.0
231,2019-8-20,1.0,4.0,1.2673044646258473,4.0
232,2019-8-21,1.0,4.0,0.9962049198956219,4.0
233,2019-8-22,4.0,4.0,0.0,4.0
234,2019-8-23,4.0,4.0,0.0,4.0
235,2019-8-24,4.0,4.0,0.0,4.0
236,2019-8-25,4.0,4.0,0.0,4.0
237,2019-8-26,4.0,4.0,0.0,4.0
238,2019-8-27,2.0,4.0,0.5773502691896257,4.0
239,2019-8-28,1.0,4.0,1.1677484162422844,4.0
240,2019-8-29,1.0,4.0,0.9962049198956219,4.0
241,2019-8-30,4.0,4.0,0.0,4.0
242,2019-8-31,4.0,4.0,0.0,4.0
243,2019-9-1,1.0,4.0,1.1677484162422844,4.0
244,2019-9-2,4.0,4.0,0.0,4.0
245,2019-9-3,1.0,4.0,1.1677484162422844,4.0
246,2019-9-4,1.0,4.0,0.8660254037844386,4.0
247,2019-9-5,1.0,4.0,1.3113721705515067,2.0
248,2019-9-6,1.0,4.0,0.9962049198956219,4.0
249,2019-9-7,1.0,4.0,1.1645001528813148,4.0
250,2019-9-8,1.0,4.0,1.1645001528813148,4.0
251,2019-9-9,1.0,4.0,0.8660254037844386,4.0
